Epsilon,InitialSample,Network,NumberOfAgents,NumberOfBandits,NumberOfPulls,NumberOfTrials,ReevalFrequency,b1Mean,b1Variance,b2Mean,b2Variance,finalPerfVar,finalPerformance,seed
0.0,1.0,Complete,10.0,2.0,500.0,10000.0,1.0,10.0,100.0,0.0,0.0,26.225364630306107,4.378359024593995,-562894011
0.0,1.0,Complete,10.0,2.0,500.0,10000.0,1.0,10.0,100.0,0.0,0.0,26.389058362792326,4.402925119658668,1673233834
0.0,1.0,Complete,10.0,2.0,500.0,10000.0,1.0,10.0,100.0,0.0,0.0,26.421958991372026,4.439220698523644,2032604561
0.0,1.0,Complete,10.0,2.0,500.0,10000.0,1.0,10.0,500.0,0.0,0.0,25.170335307983127,1.334848831625395,1594102810
0.0,1.0,Complete,10.0,2.0,500.0,10000.0,1.0,10.0,500.0,0.0,0.0,23.608586780793214,1.2861270349928233,1806127811
0.0,1.0,Complete,10.0,2.0,500.0,10000.0,1.0,10.0,500.0,0.0,0.0,24.277986290867354,1.3010471265297452,-6406028
0.0,1.0,Complete,10.0,2.0,500.0,10000.0,1.0,10.0,1000.0,0.0,0.0,39.771521919504636,0.9375952296620707,368960436
0.0,1.0,Complete,10.0,2.0,500.0,10000.0,1.0,10.0,1000.0,0.0,0.0,37.601695261767965,0.9049326401280657,-525367825
0.0,1.0,Complete,10.0,2.0,500.0,10000.0,1.0,10.0,1000.0,0.0,0.0,38.54137591860151,0.9279372096931856,1697002689
0.025,1.0,Complete,10.0,2.0,500.0,10000.0,1.0,10.0,100.0,0.0,0.0,17.2037694695129,6.150294229370098,-263836053
0.025,1.0,Complete,10.0,2.0,500.0,10000.0,1.0,10.0,100.0,0.0,0.0,17.62423726023121,6.1174786954064775,-75447864
0.025,1.0,Complete,10.0,2.0,500.0,10000.0,1.0,10.0,100.0,0.0,0.0,17.286352386609906,6.11964558595244,-1034089454
0.025,1.0,Complete,10.0,2.0,500.0,10000.0,1.0,10.0,500.0,0.0,0.0,37.00542012688286,3.556633321314467,-2048948927
0.025,1.0,Complete,10.0,2.0,500.0,10000.0,1.0,10.0,500.0,0.0,0.0,38.37629818074009,3.7844130902901183,1085771619
0.025,1.0,Complete,10.0,2.0,500.0,10000.0,1.0,10.0,500.0,0.0,0.0,38.09767238719818,3.750785969725043,471268247
0.025,1.0,Complete,10.0,2.0,500.0,10000.0,1.0,10.0,1000.0,0.0,0.0,90.29496019266993,3.343446761070086,-1356852293
0.025,1.0,Complete,10.0,2.0,500.0,10000.0,1.0,10.0,1000.0,0.0,0.0,94.36072693803139,3.5117602775297643,1287350169
0.025,1.0,Complete,10.0,2.0,500.0,10000.0,1.0,10.0,1000.0,0.0,0.0,91.8916207276293,3.3459427419269683,-1470841308
0.05,1.0,Complete,10.0,2.0,500.0,10000.0,1.0,10.0,100.0,0.0,0.0,13.961226808212615,6.118184106780432,-1157759917
0.05,1.0,Complete,10.0,2.0,500.0,10000.0,1.0,10.0,100.0,0.0,0.0,13.613248152757706,6.221668486742962,-597831204
0.05,1.0,Complete,10.0,2.0,500.0,10000.0,1.0,10.0,100.0,0.0,0.0,13.673108822081124,6.218785384455262,326499539
0.05,1.0,Complete,10.0,2.0,500.0,10000.0,1.0,10.0,500.0,0.0,0.0,37.79015139162853,4.156767449856528,-1526358798
0.05,1.0,Complete,10.0,2.0,500.0,10000.0,1.0,10.0,500.0,0.0,0.0,37.720837678231184,4.243190686233005,-1445952360
0.05,1.0,Complete,10.0,2.0,500.0,10000.0,1.0,10.0,500.0,0.0,0.0,37.34770473425353,4.243345041559362,-1849342089
0.05,1.0,Complete,10.0,2.0,500.0,10000.0,1.0,10.0,1000.0,0.0,0.0,99.70675770072984,3.9592127286234433,560132081
0.05,1.0,Complete,10.0,2.0,500.0,10000.0,1.0,10.0,1000.0,0.0,0.0,98.44663466026046,4.041120299048529,492669767
0.05,1.0,Complete,10.0,2.0,500.0,10000.0,1.0,10.0,1000.0,0.0,0.0,98.93264093078265,4.035780880854084,463841681
0.07500000000000001,1.0,Complete,10.0,2.0,500.0,10000.0,1.0,10.0,100.0,0.0,0.0,11.667064872097315,6.152524995268403,433424818
0.07500000000000001,1.0,Complete,10.0,2.0,500.0,10000.0,1.0,10.0,100.0,0.0,0.0,11.638957057065479,6.15977628590076,-2028808058
0.07500000000000001,1.0,Complete,10.0,2.0,500.0,10000.0,1.0,10.0,100.0,0.0,0.0,11.617105678123709,6.096190805403644,-782927292
0.07500000000000001,1.0,Complete,10.0,2.0,500.0,10000.0,1.0,10.0,500.0,0.0,0.0,35.26546417308515,4.498840084507072,1521845570
0.07500000000000001,1.0,Complete,10.0,2.0,500.0,10000.0,1.0,10.0,500.0,0.0,0.0,35.40656839794881,4.385659327587016,16437840
0.07500000000000001,1.0,Complete,10.0,2.0,500.0,10000.0,1.0,10.0,500.0,0.0,0.0,35.589328272707576,4.4427046743767855,167657089
0.07500000000000001,1.0,Complete,10.0,2.0,500.0,10000.0,1.0,10.0,1000.0,0.0,0.0,102.42920592092442,4.37966202745145,1888720749
0.07500000000000001,1.0,Complete,10.0,2.0,500.0,10000.0,1.0,10.0,1000.0,0.0,0.0,102.68973916333566,4.3518985992104176,-1577629913
0.07500000000000001,1.0,Complete,10.0,2.0,500.0,10000.0,1.0,10.0,1000.0,0.0,0.0,102.64500208445328,4.2824251122803405,1738997846
0.1,1.0,Complete,10.0,2.0,500.0,10000.0,1.0,10.0,100.0,0.0,0.0,10.022717298320462,6.064630520657464,185624877
0.1,1.0,Complete,10.0,2.0,500.0,10000.0,1.0,10.0,100.0,0.0,0.0,10.088007280843714,6.14522077490545,1941304914
0.1,1.0,Complete,10.0,2.0,500.0,10000.0,1.0,10.0,100.0,0.0,0.0,9.887797778440053,6.064994437104697,-1419080691
0.1,1.0,Complete,10.0,2.0,500.0,10000.0,1.0,10.0,500.0,0.0,0.0,35.0316735340462,4.6170906411330925,1897977329
0.1,1.0,Complete,10.0,2.0,500.0,10000.0,1.0,10.0,500.0,0.0,0.0,35.56169420305979,4.730965441675483,-2117102537
0.1,1.0,Complete,10.0,2.0,500.0,10000.0,1.0,10.0,500.0,0.0,0.0,34.68671043828406,4.707322751587556,-973030878
0.1,1.0,Complete,10.0,2.0,500.0,10000.0,1.0,10.0,1000.0,0.0,0.0,104.1620204973632,4.5374012247481215,1655061411
0.1,1.0,Complete,10.0,2.0,500.0,10000.0,1.0,10.0,1000.0,0.0,0.0,104.35517076312874,4.519986650278005,-1280652058
0.1,1.0,Complete,10.0,2.0,500.0,10000.0,1.0,10.0,1000.0,0.0,0.0,103.24138597550767,4.341878160088424,911629722
0.125,1.0,Complete,10.0,2.0,500.0,10000.0,1.0,10.0,100.0,0.0,0.0,8.572059659961083,5.964048835635063,1257517489
0.125,1.0,Complete,10.0,2.0,500.0,10000.0,1.0,10.0,100.0,0.0,0.0,8.68216538791187,6.006944806633777,-1758368859
0.125,1.0,Complete,10.0,2.0,500.0,10000.0,1.0,10.0,100.0,0.0,0.0,8.48138706846807,5.995848349509369,1994278905
0.125,1.0,Complete,10.0,2.0,500.0,10000.0,1.0,10.0,500.0,0.0,0.0,33.38172984781598,4.674490267635732,-146441483
0.125,1.0,Complete,10.0,2.0,500.0,10000.0,1.0,10.0,500.0,0.0,0.0,33.88678491952093,4.897109909573217,624653140
0.125,1.0,Complete,10.0,2.0,500.0,10000.0,1.0,10.0,500.0,0.0,0.0,34.243934389688974,4.75377291922083,-569400433
0.125,1.0,Complete,10.0,2.0,500.0,10000.0,1.0,10.0,1000.0,0.0,0.0,107.18667248326106,4.490471114905194,-1102257421
0.125,1.0,Complete,10.0,2.0,500.0,10000.0,1.0,10.0,1000.0,0.0,0.0,106.43266821143837,4.745856886804541,-1415337891
0.125,1.0,Complete,10.0,2.0,500.0,10000.0,1.0,10.0,1000.0,0.0,0.0,100.79095598424563,4.456293973708842,-300555968
0.15000000000000002,1.0,Complete,10.0,2.0,500.0,10000.0,1.0,10.0,100.0,0.0,0.0,7.382643622767809,5.961404123029272,-155478288
0.15000000000000002,1.0,Complete,10.0,2.0,500.0,10000.0,1.0,10.0,100.0,0.0,0.0,7.4776527687933285,5.880662805438515,980040706
0.15000000000000002,1.0,Complete,10.0,2.0,500.0,10000.0,1.0,10.0,100.0,0.0,0.0,7.566400017826254,5.8790873952719895,233121242
0.15000000000000002,1.0,Complete,10.0,2.0,500.0,10000.0,1.0,10.0,500.0,0.0,0.0,32.54856295284872,4.805487174959191,-519376397
0.15000000000000002,1.0,Complete,10.0,2.0,500.0,10000.0,1.0,10.0,500.0,0.0,0.0,32.85628788525232,4.788327552824794,1373526159
0.15000000000000002,1.0,Complete,10.0,2.0,500.0,10000.0,1.0,10.0,500.0,0.0,0.0,32.214750845569355,4.819581393773487,101750019
0.15000000000000002,1.0,Complete,10.0,2.0,500.0,10000.0,1.0,10.0,1000.0,0.0,0.0,106.15014402529789,4.659020752749918,-2006186706
0.15000000000000002,1.0,Complete,10.0,2.0,500.0,10000.0,1.0,10.0,1000.0,0.0,0.0,103.80804137268393,4.635722634695752,-1191262903
0.15000000000000002,1.0,Complete,10.0,2.0,500.0,10000.0,1.0,10.0,1000.0,0.0,0.0,105.77762649085668,4.747435875200457,-227109205
0.17500000000000002,1.0,Complete,10.0,2.0,500.0,10000.0,1.0,10.0,100.0,0.0,0.0,6.587997797622472,5.86816050543783,-2130542365
0.17500000000000002,1.0,Complete,10.0,2.0,500.0,10000.0,1.0,10.0,100.0,0.0,0.0,6.691473728387539,5.796708225368659,304755188
0.17500000000000002,1.0,Complete,10.0,2.0,500.0,10000.0,1.0,10.0,100.0,0.0,0.0,6.6530170411068985,5.858970742956561,991267839
0.17500000000000002,1.0,Complete,10.0,2.0,500.0,10000.0,1.0,10.0,500.0,0.0,0.0,32.13190485145594,4.859933736023061,1933303226
0.17500000000000002,1.0,Complete,10.0,2.0,500.0,10000.0,1.0,10.0,500.0,0.0,0.0,31.480444641751415,4.791712154094175,1303517720
0.17500000000000002,1.0,Complete,10.0,2.0,500.0,10000.0,1.0,10.0,500.0,0.0,0.0,30.984862931531428,4.896661195314861,-2030875615
0.17500000000000002,1.0,Complete,10.0,2.0,500.0,10000.0,1.0,10.0,1000.0,0.0,0.0,105.53818865365685,4.66774366526149,316553950
0.17500000000000002,1.0,Complete,10.0,2.0,500.0,10000.0,1.0,10.0,1000.0,0.0,0.0,103.58529913628232,4.759573240993699,-839816582
0.17500000000000002,1.0,Complete,10.0,2.0,500.0,10000.0,1.0,10.0,1000.0,0.0,0.0,104.94957733211521,4.876874682538377,331148099
0.2,1.0,Complete,10.0,2.0,500.0,10000.0,1.0,10.0,100.0,0.0,0.0,5.849229290281038,5.75472740675275,-329185165
0.2,1.0,Complete,10.0,2.0,500.0,10000.0,1.0,10.0,100.0,0.0,0.0,5.813244320605781,5.7748164039879235,-1456269126
0.2,1.0,Complete,10.0,2.0,500.0,10000.0,1.0,10.0,100.0,0.0,0.0,5.8196747814039025,5.75518662017643,1904163947
0.2,1.0,Complete,10.0,2.0,500.0,10000.0,1.0,10.0,500.0,0.0,0.0,30.388080086814078,4.856798303993693,282882727
0.2,1.0,Complete,10.0,2.0,500.0,10000.0,1.0,10.0,500.0,0.0,0.0,30.43917068870045,4.875302622751617,1118406136
0.2,1.0,Complete,10.0,2.0,500.0,10000.0,1.0,10.0,500.0,0.0,0.0,30.80618743233167,4.921523138165157,333055910
0.2,1.0,Complete,10.0,2.0,500.0,10000.0,1.0,10.0,1000.0,0.0,0.0,104.88365631371678,4.712785353281289,-503587792
