Epsilon,InitialSample,Network,NumberOfAgents,NumberOfBandits,NumberOfPulls,NumberOfTrials,ReevalFrequency,b1Mean,b1Variance,b2Mean,b2Variance,finalPerfVar,finalPerformance,seed
0.0,1.0,Complete,10.0,2.0,500.0,30000.0,1.0,10.0,100.0,0.0,0.0,26.245026165208404,4.371985978717229,0
0.025,1.0,Complete,10.0,2.0,500.0,30000.0,1.0,10.0,100.0,0.0,0.0,17.256454245736446,6.136327812450709,0
0.05,1.0,Complete,10.0,2.0,500.0,30000.0,1.0,10.0,100.0,0.0,0.0,13.918551503561668,6.193104398353894,0
0.07500000000000001,1.0,Complete,10.0,2.0,500.0,30000.0,1.0,10.0,100.0,0.0,0.0,11.646502931324498,6.155335123771232,0
0.1,1.0,Complete,10.0,2.0,500.0,30000.0,1.0,10.0,100.0,0.0,0.0,9.84494016549557,6.095467858819519,0
0.125,1.0,Complete,10.0,2.0,500.0,30000.0,1.0,10.0,100.0,0.0,0.0,8.605937353714529,5.99493567712461,0
0.15000000000000002,1.0,Complete,10.0,2.0,500.0,30000.0,1.0,10.0,100.0,0.0,0.0,7.567044398956033,5.940642942997124,0
0.17500000000000002,1.0,Complete,10.0,2.0,500.0,30000.0,1.0,10.0,100.0,0.0,0.0,6.559889531510287,5.837470120796769,0
0.2,1.0,Complete,10.0,2.0,500.0,30000.0,1.0,10.0,100.0,0.0,0.0,5.871917265152964,5.788032970198829,0
0.225,1.0,Complete,10.0,2.0,500.0,30000.0,1.0,10.0,100.0,0.0,0.0,5.267543980116726,5.723109392937146,0
0.25,1.0,Complete,10.0,2.0,500.0,30000.0,1.0,10.0,100.0,0.0,0.0,4.681603475106027,5.651307886272485,0
0.275,1.0,Complete,10.0,2.0,500.0,30000.0,1.0,10.0,100.0,0.0,0.0,4.202568877630301,5.609716971041861,0
0.30000000000000004,1.0,Complete,10.0,2.0,500.0,30000.0,1.0,10.0,100.0,0.0,0.0,3.7760725840847167,5.551708057236938,0
0.325,1.0,Complete,10.0,2.0,500.0,30000.0,1.0,10.0,100.0,0.0,0.0,3.3857747597762557,5.515554530372881,0
0.35000000000000003,1.0,Complete,10.0,2.0,500.0,30000.0,1.0,10.0,100.0,0.0,0.0,3.0425845489159453,5.46491277881125,0
0.375,1.0,Complete,10.0,2.0,500.0,30000.0,1.0,10.0,100.0,0.0,0.0,2.826691401477374,5.4356453360186725,0
0.4,1.0,Complete,10.0,2.0,500.0,30000.0,1.0,10.0,100.0,0.0,0.0,2.5861101369224677,5.4235732658061755,0
0.42500000000000004,1.0,Complete,10.0,2.0,500.0,30000.0,1.0,10.0,100.0,0.0,0.0,2.3834911622618176,5.363266467414689,0
0.45,1.0,Complete,10.0,2.0,500.0,30000.0,1.0,10.0,100.0,0.0,0.0,2.2161880921873305,5.336202303862379,0
0.47500000000000003,1.0,Complete,10.0,2.0,500.0,30000.0,1.0,10.0,100.0,0.0,0.0,2.025685001401365,5.3190890236495365,0
0.225,1.0,Cycle,10.0,2.0,500.0,30000.0,1.0,10.0,100.0,0.0,0.0,3.3204300091171954,5.248310952897263,0
0.25,1.0,Cycle,10.0,2.0,500.0,30000.0,1.0,10.0,100.0,0.0,0.0,3.07454062966706,5.208707690878304,0
0.275,1.0,Cycle,10.0,2.0,500.0,30000.0,1.0,10.0,100.0,0.0,0.0,2.9128034203486104,5.2346462845918715,0
0.30000000000000004,1.0,Cycle,10.0,2.0,500.0,30000.0,1.0,10.0,100.0,0.0,0.0,2.714571476390522,5.2205828849571265,0
0.325,1.0,Cycle,10.0,2.0,500.0,30000.0,1.0,10.0,100.0,0.0,0.0,2.5350972609467926,5.19901281337173,0
0.35000000000000003,1.0,Cycle,10.0,2.0,500.0,30000.0,1.0,10.0,100.0,0.0,0.0,2.420109349452151,5.214380656323607,0
0.375,1.0,Cycle,10.0,2.0,500.0,30000.0,1.0,10.0,100.0,0.0,0.0,2.2687367238314384,5.215832747556389,0
0.4,1.0,Cycle,10.0,2.0,500.0,30000.0,1.0,10.0,100.0,0.0,0.0,2.1336078438355983,5.2114262220768905,0
0.42500000000000004,1.0,Cycle,10.0,2.0,500.0,30000.0,1.0,10.0,100.0,0.0,0.0,2.0312269264907994,5.175717184929177,0
0.45,1.0,Cycle,10.0,2.0,500.0,30000.0,1.0,10.0,100.0,0.0,0.0,1.9332485801233137,5.196526336730822,0
0.5,1.0,Complete,10.0,2.0,500.0,30000.0,1.0,10.0,100.0,0.0,0.0,1.9145240090300342,5.287237362686163,0
0.0,1.0,Cycle,10.0,2.0,500.0,30000.0,1.0,10.0,100.0,0.0,0.0,17.01559347678506,6.878682236138131,0
0.025,1.0,Cycle,10.0,2.0,500.0,30000.0,1.0,10.0,100.0,0.0,0.0,8.838126629715957,5.4095971493810096,0
0.05,1.0,Cycle,10.0,2.0,500.0,30000.0,1.0,10.0,100.0,0.0,0.0,7.1606948383346,5.274889016003646,0
0.07500000000000001,1.0,Cycle,10.0,2.0,500.0,30000.0,1.0,10.0,100.0,0.0,0.0,6.01629051766005,5.235786420075437,0
0.1,1.0,Cycle,10.0,2.0,500.0,30000.0,1.0,10.0,100.0,0.0,0.0,5.296290204750288,5.22790613432622,0
0.125,1.0,Cycle,10.0,2.0,500.0,30000.0,1.0,10.0,100.0,0.0,0.0,4.73276954124693,5.226664007721271,0
0.15000000000000002,1.0,Cycle,10.0,2.0,500.0,30000.0,1.0,10.0,100.0,0.0,0.0,4.283774155692972,5.238914116056965,0
0.17500000000000002,1.0,Cycle,10.0,2.0,500.0,30000.0,1.0,10.0,100.0,0.0,0.0,3.987071237118506,5.222758076161434,0
0.2,1.0,Cycle,10.0,2.0,500.0,30000.0,1.0,10.0,100.0,0.0,0.0,3.585560013205464,5.216324482618099,0
0.5,1.0,Cycle,10.0,2.0,500.0,30000.0,1.0,10.0,100.0,0.0,0.0,1.7626840875649021,5.168599121012741,0
0.47500000000000003,1.0,Cycle,10.0,2.0,500.0,30000.0,1.0,10.0,100.0,0.0,0.0,1.8693632953704884,5.177121865990865,0
