Epsilon,InitialSample,Network,NumberOfAgents,NumberOfBandits,NumberOfPulls,NumberOfTrials,ReevalFrequency,b1Mean,b1Variance,b2Mean,b2Variance,finalPerfVar,finalPerformance,seed
0.0,1.0,Complete,150.0,2.0,500.0,30000.0,1.0,10.0,100.0,0.0,0.0,14.031818224867497,8.327581452582184,0
0.0,1.0,Cycle,50.0,2.0,500.0,30000.0,1.0,10.0,100.0,0.0,0.0,2.555885882385535,7.590720473683502,0
0.0,1.0,Cycle,60.0,2.0,500.0,30000.0,1.0,10.0,100.0,0.0,0.0,2.1857632071160644,7.598225095823038,0
0.0,1.0,Cycle,70.0,2.0,500.0,30000.0,1.0,10.0,100.0,0.0,0.0,1.8721529796365477,7.595490452875563,0
0.0,1.0,Cycle,80.0,2.0,500.0,30000.0,1.0,10.0,100.0,0.0,0.0,1.6278365484507498,7.598367050592356,0
0.0,1.0,Cycle,90.0,2.0,500.0,30000.0,1.0,10.0,100.0,0.0,0.0,1.4368673204859266,7.599189524588959,0
0.0,1.0,Cycle,100.0,2.0,500.0,30000.0,1.0,10.0,100.0,0.0,0.0,1.3086177854201573,7.609273566650471,0
0.0,1.0,Cycle,110.0,2.0,500.0,30000.0,1.0,10.0,100.0,0.0,0.0,1.1625124616989926,7.607971546904416,0
0.0,1.0,Cycle,120.0,2.0,500.0,30000.0,1.0,10.0,100.0,0.0,0.0,1.0916559532592114,7.596211590576416,0
0.0,1.0,Cycle,130.0,2.0,500.0,30000.0,1.0,10.0,100.0,0.0,0.0,1.0053723234886742,7.59428135234686,0
