Epsilon,InitialSample,Network,NumberOfAgents,NumberOfBandits,NumberOfPulls,NumberOfTrials,ReevalFrequency,b1Mean,b1Variance,b2Mean,b2Variance,finalPerfVar,finalPerformance,seed
0.0,1.0,Complete,3.0,2.0,500.0,10000.0,1.0,10.0,50.0,0.0,0.0,26.31869911014148,4.773567788086548,1660153787
0.0,1.0,Complete,3.0,2.0,500.0,10000.0,1.0,10.0,50.0,0.0,0.0,26.367773838607057,4.910443427169656,2043020707
0.0,1.0,Complete,3.0,2.0,500.0,10000.0,1.0,10.0,50.0,0.0,0.0,26.446989237990522,4.853377659850638,1044753374
0.0,1.0,Complete,4.0,2.0,500.0,10000.0,1.0,10.0,50.0,0.0,0.0,26.11276859424364,5.38258155299385,-1960633331
0.0,1.0,Complete,4.0,2.0,500.0,10000.0,1.0,10.0,50.0,0.0,0.0,26.026031379409385,5.372116316849949,-820708548
0.0,1.0,Complete,4.0,2.0,500.0,10000.0,1.0,10.0,50.0,0.0,0.0,25.942709835143006,5.422845152542829,-1242084865
0.0,1.0,Complete,5.0,2.0,500.0,10000.0,1.0,10.0,50.0,0.0,0.0,25.242398460189076,5.859955129083117,240411207
0.0,1.0,Complete,5.0,2.0,500.0,10000.0,1.0,10.0,50.0,0.0,0.0,25.205233666026576,5.839867344974041,-2004973980
0.0,1.0,Complete,5.0,2.0,500.0,10000.0,1.0,10.0,50.0,0.0,0.0,25.17202645355302,5.874549344616837,424172482
0.0,1.0,Complete,6.0,2.0,500.0,10000.0,1.0,10.0,50.0,0.0,0.0,24.55448741269778,6.166274987127627,726020008
0.0,1.0,Complete,6.0,2.0,500.0,10000.0,1.0,10.0,50.0,0.0,0.0,24.402829689508895,6.194734631242424,801855546
0.0,1.0,Complete,6.0,2.0,500.0,10000.0,1.0,10.0,50.0,0.0,0.0,24.373548391354802,6.183267106012129,1291616963
0.0,1.0,Complete,7.0,2.0,500.0,10000.0,1.0,10.0,50.0,0.0,0.0,23.680094555868884,6.453830046002721,3323973
0.0,1.0,Complete,7.0,2.0,500.0,10000.0,1.0,10.0,50.0,0.0,0.0,23.46817149823831,6.510930369534205,262510548
0.0,1.0,Complete,7.0,2.0,500.0,10000.0,1.0,10.0,50.0,0.0,0.0,23.597896338887804,6.437037398254511,1558003627
0.0,1.0,Complete,8.0,2.0,500.0,10000.0,1.0,10.0,50.0,0.0,0.0,23.125267098383652,6.568529000618614,79004234
0.0,1.0,Complete,8.0,2.0,500.0,10000.0,1.0,10.0,50.0,0.0,0.0,22.83201074149526,6.672000652282964,396528049
0.0,1.0,Complete,8.0,2.0,500.0,10000.0,1.0,10.0,50.0,0.0,0.0,22.96304314584803,6.622844052927084,-1613091311
0.0,1.0,Complete,9.0,2.0,500.0,10000.0,1.0,10.0,50.0,0.0,0.0,22.11198210429744,6.844626822775259,626341657
0.0,1.0,Complete,9.0,2.0,500.0,10000.0,1.0,10.0,50.0,0.0,0.0,22.587777829354675,6.72550786284411,1751371682
0.0,1.0,Complete,9.0,2.0,500.0,10000.0,1.0,10.0,50.0,0.0,0.0,21.949708666745135,6.861254771680736,-2089338917
0.0,1.0,Complete,10.0,2.0,500.0,10000.0,1.0,10.0,50.0,0.0,0.0,21.28633021584943,7.057334205636081,682987342
0.0,1.0,Complete,10.0,2.0,500.0,10000.0,1.0,10.0,50.0,0.0,0.0,21.655283897617952,6.949377174314504,-34164644
0.0,1.0,Complete,10.0,2.0,500.0,10000.0,1.0,10.0,50.0,0.0,0.0,21.499337100135353,6.992846491628046,-1418705231
0.0,1.0,Complete,11.0,2.0,500.0,10000.0,1.0,10.0,50.0,0.0,0.0,20.568887213847688,7.206320393335989,-2085322127
0.0,1.0,Complete,11.0,2.0,500.0,10000.0,1.0,10.0,50.0,0.0,0.0,20.6527790844716,7.183748817222721,-1691775970
0.0,1.0,Complete,11.0,2.0,500.0,10000.0,1.0,10.0,50.0,0.0,0.0,21.156837057224642,7.074872554933314,-1840407646
