Epsilon,InitialSample,Network,NumberOfAgents,NumberOfBandits,NumberOfPulls,NumberOfTrials,ReevalFrequency,b1Mean,b1Variance,b2Mean,b2Variance,finalPerfVar,finalPerformance,seed
0.1,1.0,Complete,1.0,2.0,500.0,30000.0,226.0,10.0,100.0,0.0,0.0,29.197323184604155,6.382566340568726,0
0.1,1.0,Complete,1.0,2.0,500.0,30000.0,251.0,10.0,100.0,0.0,0.0,29.23596947065832,6.27521317782798,0
0.2,1.0,Complete,1.0,2.0,500.0,30000.0,1.0,10.0,100.0,0.0,0.0,25.059895157874912,4.169957829176297,0
0.2,1.0,Complete,1.0,2.0,500.0,30000.0,26.0,10.0,100.0,0.0,0.0,29.86928404762414,5.723744418900064,0
0.2,1.0,Complete,1.0,2.0,500.0,30000.0,51.0,10.0,100.0,0.0,0.0,29.294079256436632,6.103070788406322,0
0.2,1.0,Complete,1.0,2.0,500.0,30000.0,76.0,10.0,100.0,0.0,0.0,28.48801904822387,6.27375663461572,0
0.2,1.0,Complete,1.0,2.0,500.0,30000.0,101.0,10.0,100.0,0.0,0.0,27.714156583944533,6.372823104187176,0
0.2,1.0,Complete,1.0,2.0,500.0,30000.0,126.0,10.0,100.0,0.0,0.0,27.15007610522001,6.375159118435053,0
0.2,1.0,Complete,1.0,2.0,500.0,30000.0,151.0,10.0,100.0,0.0,0.0,26.741254283292065,6.345483818213231,0
0.2,1.0,Complete,1.0,2.0,500.0,30000.0,176.0,10.0,100.0,0.0,0.0,26.36366802520253,6.321841448244468,0
0.2,1.0,Complete,1.0,2.0,500.0,30000.0,201.0,10.0,100.0,0.0,0.0,26.01218003802763,6.261891857589124,0
0.2,1.0,Complete,1.0,2.0,500.0,30000.0,226.0,10.0,100.0,0.0,0.0,25.81090276626183,6.206852938185021,0
0.2,1.0,Complete,1.0,2.0,500.0,30000.0,251.0,10.0,100.0,0.0,0.0,25.697799835264497,6.129574035620104,0
0.3,1.0,Complete,1.0,2.0,500.0,30000.0,1.0,10.0,100.0,0.0,0.0,22.833264200611705,4.648510729399711,0
0.3,1.0,Complete,1.0,2.0,500.0,30000.0,26.0,10.0,100.0,0.0,0.0,25.86948329762583,5.697758881799533,0
0.3,1.0,Complete,1.0,2.0,500.0,30000.0,51.0,10.0,100.0,0.0,0.0,25.737778960188848,5.994617262243509,0
0.3,1.0,Complete,1.0,2.0,500.0,30000.0,76.0,10.0,100.0,0.0,0.0,25.08147328867163,6.128428328471065,0
0.3,1.0,Complete,1.0,2.0,500.0,30000.0,101.0,10.0,100.0,0.0,0.0,24.56902191645389,6.18434837496267,0
0.3,1.0,Complete,1.0,2.0,500.0,30000.0,126.0,10.0,100.0,0.0,0.0,24.209258306903372,6.183384175872999,0
0.3,1.0,Complete,1.0,2.0,500.0,30000.0,151.0,10.0,100.0,0.0,0.0,23.829957218376443,6.178817158334885,0
0.0,1.0,Complete,1.0,2.0,500.0,30000.0,1.0,10.0,100.0,0.0,0.0,18.49756505472576,1.4314588308286567,0
0.0,1.0,Complete,1.0,2.0,500.0,30000.0,26.0,10.0,100.0,0.0,0.0,34.57718041887103,3.371465985911972,0
0.0,1.0,Complete,1.0,2.0,500.0,30000.0,51.0,10.0,100.0,0.0,0.0,37.535446338147494,4.055396773944996,0
0.0,1.0,Complete,1.0,2.0,500.0,30000.0,76.0,10.0,100.0,0.0,0.0,38.304099800268425,4.41971213585932,0
0.0,1.0,Complete,1.0,2.0,500.0,30000.0,101.0,10.0,100.0,0.0,0.0,38.55315210185162,4.661604137125431,0
0.0,1.0,Complete,1.0,2.0,500.0,30000.0,126.0,10.0,100.0,0.0,0.0,38.58753696158233,4.815666620921272,0
0.0,1.0,Complete,1.0,2.0,500.0,30000.0,151.0,10.0,100.0,0.0,0.0,38.515845406155,4.959745093511017,0
0.0,1.0,Complete,1.0,2.0,500.0,30000.0,176.0,10.0,100.0,0.0,0.0,38.33162326491798,5.049017494572976,0
0.0,1.0,Complete,1.0,2.0,500.0,30000.0,201.0,10.0,100.0,0.0,0.0,38.13058593763022,5.132910168909045,0
0.0,1.0,Complete,1.0,2.0,500.0,30000.0,226.0,10.0,100.0,0.0,0.0,37.94681434380737,5.182824291258664,0
0.0,1.0,Complete,1.0,2.0,500.0,30000.0,251.0,10.0,100.0,0.0,0.0,37.77838093584538,5.226844461573765,0
0.1,1.0,Complete,1.0,2.0,500.0,30000.0,1.0,10.0,100.0,0.0,0.0,26.260803093006352,3.4211933422320158,0
0.1,1.0,Complete,1.0,2.0,500.0,30000.0,26.0,10.0,100.0,0.0,0.0,34.50158493610639,5.621303761672695,0
0.1,1.0,Complete,1.0,2.0,500.0,30000.0,51.0,10.0,100.0,0.0,0.0,33.62462959813066,6.183478161384796,0
0.1,1.0,Complete,1.0,2.0,500.0,30000.0,76.0,10.0,100.0,0.0,0.0,32.575868894714034,6.392407775890934,0
0.1,1.0,Complete,1.0,2.0,500.0,30000.0,101.0,10.0,100.0,0.0,0.0,31.525847318193627,6.488515746834755,0
0.1,1.0,Complete,1.0,2.0,500.0,30000.0,126.0,10.0,100.0,0.0,0.0,30.61972832026084,6.534296862127471,0
0.1,1.0,Complete,1.0,2.0,500.0,30000.0,151.0,10.0,100.0,0.0,0.0,30.22309020373832,6.51031713223581,0
0.1,1.0,Complete,1.0,2.0,500.0,30000.0,176.0,10.0,100.0,0.0,0.0,29.693996911110194,6.499645771238313,0
0.1,1.0,Complete,1.0,2.0,500.0,30000.0,201.0,10.0,100.0,0.0,0.0,29.274401468762974,6.456378327181397,0
0.3,1.0,Complete,1.0,2.0,500.0,30000.0,226.0,10.0,100.0,0.0,0.0,23.06407361826652,6.060235505214871,0
