Epsilon,InitialSample,Network,NumberOfAgents,NumberOfBandits,NumberOfPulls,NumberOfTrials,PreferenceBias,ResultCorrelation,b1Mean1,b1Mean2,b1Variance,b2Mean1,b2Mean2,b2Variance,b3Mean1,b3Mean2,b3Variance,b4Mean1,b4Mean2,b4Variance,objPerformance1,objPerformance1Var,objPerformance2,objPerformance2Var,seed,subPerformance,subPerformanceVar
0.0,1.0,Complete,10.0,2.0,500.0,2500.0,0.5,1.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,2100749966,10.0,0.0
0.0,1.0,Complete,10.0,2.0,500.0,2500.0,0.5,1.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,-1418239200,10.0,0.0
0.0,1.0,Complete,10.0,2.0,500.0,2500.0,0.5,1.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,235936034,10.0,0.0
0.0,1.0,Complete,10.0,2.0,500.0,2500.0,0.5,1.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,-1262068047,10.0,0.0
0.0,1.0,Complete,10.0,2.0,500.0,2500.0,0.5,1.0,10.0,10.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,9.99955309392688,1.0618515023966117E-6,9.99955309392688,1.0618515023965918E-6,1383097385,9.99955309392688,1.061851502396611E-6
0.0,1.0,Complete,10.0,2.0,500.0,2500.0,0.5,1.0,10.0,10.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,9.999517241128459,1.1186483165984596E-6,9.999517241128459,1.1186483165984704E-6,-894163970,9.999517241128459,1.1186483165984458E-6
0.0,1.0,Complete,10.0,2.0,500.0,2500.0,0.5,1.0,10.0,10.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,9.999553108804728,1.058789342481077E-6,9.999553108804728,1.0587893424810705E-6,-574456499,9.999553108804728,1.058789342481077E-6
0.0,1.0,Complete,10.0,2.0,500.0,2500.0,0.5,1.0,10.0,10.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,9.999494387429978,1.2132551111195532E-6,9.999494387429978,1.2132551111195445E-6,-1694695742,9.999494387429978,1.2132551111195678E-6
0.0,1.0,Complete,10.0,2.0,500.0,2500.0,0.5,1.0,10.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,9.995806903615353,1.2104834294699557E-5,9.995806903615353,1.2104834294699562E-5,-891633855,9.995806903615353,1.2104834294699557E-5
0.0,1.0,Complete,10.0,2.0,500.0,2500.0,0.5,1.0,10.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,9.995799850119093,1.225165967735009E-5,9.995799850119093,1.2251659677350128E-5,-921652468,9.995799850119091,1.225165967735025E-5
0.0,1.0,Complete,10.0,2.0,500.0,2500.0,0.5,1.0,10.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,9.995889907568698,1.1963231311779407E-5,9.995889907568698,1.1963231311779637E-5,-1408778475,9.995889907568698,1.1963231311779596E-5
0.0,1.0,Complete,10.0,2.0,500.0,2500.0,0.5,1.0,10.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,9.995729630729473,1.2622166342813561E-5,9.995729630729473,1.262216634281353E-5,942715105,9.995729630729473,1.2622166342813419E-5
0.0,1.0,Complete,10.0,2.0,500.0,2500.0,0.5,1.0,10.0,10.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,9.992115064703256,2.6278304488778593E-5,9.992115064703258,2.6278304488778685E-5,-1292221878,9.992115064703256,2.627830448877865E-5
0.0,1.0,Complete,10.0,2.0,500.0,2500.0,0.5,1.0,10.0,10.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,9.992367155971024,2.4214383664823123E-5,9.992367155971024,2.421438366482308E-5,663145939,9.992367155971024,2.4214383664822987E-5
0.0,1.0,Complete,10.0,2.0,500.0,2500.0,0.5,1.0,10.0,10.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,9.992387415410283,2.4428280327607417E-5,9.992387415410283,2.4428280327607224E-5,1555584986,9.992387415410283,2.4428280327607367E-5
0.0,1.0,Complete,10.0,2.0,500.0,2500.0,0.5,1.0,10.0,10.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,9.992215851263389,2.5692533055003072E-5,9.992215851263389,2.5692533055003045E-5,-691726678,9.992215851263389,2.569253305500296E-5
0.0,1.0,Complete,10.0,2.0,500.0,2500.0,0.5,1.0,10.0,10.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,9.989038425877949,3.8755762632539535E-5,9.989038425877949,3.875576263253962E-5,596723864,9.989038425877949,3.8755762632539494E-5
0.0,1.0,Complete,10.0,2.0,500.0,2500.0,0.5,1.0,10.0,10.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,9.989138353711551,3.721477850524853E-5,9.989138353711551,3.721477850524875E-5,-507844662,9.989138353711551,3.721477850524901E-5
0.0,1.0,Complete,10.0,2.0,500.0,2500.0,0.5,1.0,10.0,10.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,9.98934590026706,4.0618876935830683E-5,9.98934590026706,4.061887693583144E-5,-1572872446,9.98934590026706,4.06188769358312E-5
0.0,1.0,Complete,10.0,2.0,500.0,2500.0,0.5,1.0,10.0,10.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,9.989262447217023,4.008619373573556E-5,9.989262447217024,4.008619373573574E-5,-1061212039,9.989262447217024,4.008619373573549E-5
0.0,1.0,Complete,10.0,2.0,500.0,2500.0,0.5,1.0,10.0,10.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,9.986068500548559,6.336094443370609E-5,9.986068500548557,6.336094443370675E-5,-1582621066,9.986068500548559,6.336094443370673E-5
0.0,1.0,Complete,10.0,2.0,500.0,2500.0,0.5,1.0,10.0,10.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,9.986018940605343,5.9461041769595424E-5,9.986018940605343,5.9461041769595465E-5,-1174040365,9.986018940605344,5.946104176959539E-5
0.0,1.0,Complete,10.0,2.0,500.0,2500.0,0.5,1.0,10.0,10.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,9.985855349047824,5.7791050069577305E-5,9.985855349047824,5.7791050069577204E-5,-256203741,9.985855349047824,5.779105006957713E-5
0.0,1.0,Complete,10.0,2.0,500.0,2500.0,0.5,1.0,10.0,10.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,9.986067734088213,5.645976531048484E-5,9.986067734088213,5.645976531048531E-5,-1515421625,9.986067734088214,5.64597653104847E-5
0.0,1.0,Complete,10.0,2.0,500.0,2500.0,0.5,1.0,10.0,10.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9833857704922,6.901648761250955E-5,9.9833857704922,6.901648761251017E-5,969381052,9.9833857704922,6.901648761250978E-5
0.0,1.0,Complete,10.0,2.0,500.0,2500.0,0.5,1.0,10.0,10.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,9.98332173696527,7.648711263479053E-5,9.98332173696527,7.648711263478986E-5,-129863932,9.98332173696527,7.648711263479059E-5
0.0,1.0,Complete,10.0,2.0,500.0,2500.0,0.5,1.0,10.0,10.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,9.983375175891181,7.581304037589652E-5,9.983375175891181,7.58130403758971E-5,-1960778800,9.983375175891181,7.581304037589664E-5
0.0,1.0,Complete,10.0,2.0,500.0,2500.0,0.5,1.0,10.0,10.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,9.982813761004541,8.291815626469162E-5,9.982813761004541,8.291815626469183E-5,1190420054,9.982813761004541,8.291815626469173E-5
0.0,1.0,Complete,10.0,2.0,500.0,2500.0,0.5,1.0,10.0,10.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,9.980180341696155,1.0977634083181153E-4,9.980180341696155,1.09776340831812E-4,-813446077,9.980180341696155,1.0977634083181176E-4
0.0,1.0,Complete,10.0,2.0,500.0,2500.0,0.5,1.0,10.0,10.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,9.980052045477777,1.0597844271540768E-4,9.980052045477777,1.0597844271540746E-4,1910295413,9.980052045477777,1.0597844271540716E-4
0.0,1.0,Complete,10.0,2.0,500.0,2500.0,0.5,1.0,10.0,10.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,9.980104042550446,1.01869970236416E-4,9.980104042550446,1.0186997023641615E-4,-924251969,9.980104042550446,1.0186997023641581E-4
0.0,1.0,Complete,10.0,2.0,500.0,2500.0,0.5,1.0,10.0,10.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,9.980018274459479,1.0651597662229767E-4,9.980018274459482,1.0651597662229767E-4,-347111647,9.980018274459482,1.0651597662229735E-4
0.0,1.0,Complete,10.0,2.0,500.0,2500.0,0.5,1.0,10.0,10.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,9.976918792274047,1.3454534728221825E-4,9.976918792274047,1.3454534728221792E-4,745691781,9.976918792274047,1.345453472822183E-4
0.0,1.0,Complete,10.0,2.0,500.0,2500.0,0.5,1.0,10.0,10.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,9.977369192889942,1.313475714780248E-4,9.977369192889942,1.3134757147802392E-4,726709835,9.977369192889942,1.313475714780243E-4
0.0,1.0,Complete,10.0,2.0,500.0,2500.0,0.5,1.0,10.0,10.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9777149074098,1.2373783344665003E-4,9.977714907409801,1.2373783344664906E-4,1518085952,9.9777149074098,1.2373783344664946E-4
0.0,1.0,Complete,10.0,2.0,500.0,2500.0,0.5,1.0,10.0,10.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,9.977216101946052,1.2730913347464424E-4,9.97721610194605,1.2730913347464422E-4,-1922779713,9.977216101946052,1.2730913347464414E-4
0.0,1.0,Complete,10.0,2.0,500.0,2500.0,0.5,1.0,10.0,10.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,9.97457241131342,1.594379357713702E-4,9.974572411313424,1.5943793577137083E-4,110079660,9.97457241131342,1.5943793577137004E-4
0.0,1.0,Complete,10.0,2.0,500.0,2500.0,0.5,1.0,10.0,10.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,9.974396291349539,1.6047134671654442E-4,9.97439629134954,1.6047134671654447E-4,-586180156,9.974396291349539,1.604713467165448E-4
