Epsilon,InitialSample,Network,NumberOfAgents,NumberOfBandits,NumberOfPulls,NumberOfTrials,PreferenceBias,ResultCorrelation,b1Mean1,b1Mean2,b1Variance,b2Mean1,b2Mean2,b2Variance,b3Mean1,b3Mean2,b3Variance,b4Mean1,b4Mean2,b4Variance,objPerformance1,objPerformance1Var,objPerformance2,objPerformance2Var,seed,subPerformance,subPerformanceVar
0.0,1.0,Complete,10.0,2.0,500.0,10000.0,0.5,-1.0,10.0,10.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.751892918727355,2.284225863554788,9.747013481272601,2.2966472068698534,1255366803,9.754396053787316,2.2704038781937954
0.0,1.0,Complete,10.0,2.0,500.0,10000.0,0.5,-1.0,10.0,10.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.738220769473994,2.211752571696907,9.780696430525994,2.2343179457563545,45959675,9.752300512314719,2.2342393028087795
0.0,1.0,Complete,10.0,2.0,500.0,10000.0,0.5,-1.0,10.0,10.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.747743390494868,2.208448183498626,9.770957809505148,2.2246637337503685,-618024794,9.771116524786654,2.120972179257724
0.05,1.0,Complete,10.0,2.0,500.0,10000.0,0.5,-1.0,10.0,10.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.559740117247816,2.064589231527469,9.518305882752136,2.0510085557584063,-1528863980,9.52976934092553,1.988669466054699
0.05,1.0,Complete,10.0,2.0,500.0,10000.0,0.5,-1.0,10.0,10.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.545275153677633,2.036288586936895,9.52405244632231,2.0213151526466744,-1475355302,9.526156732135872,2.0002024258764206
0.05,1.0,Complete,10.0,2.0,500.0,10000.0,0.5,-1.0,10.0,10.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.52610387954116,2.003341571741991,9.54786132045884,2.0030598038363037,33397689,9.53871804118913,1.9836770315454058
0.1,1.0,Complete,10.0,2.0,500.0,10000.0,0.5,-1.0,10.0,10.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.292561015018679,1.937039362791764,9.306493784981411,1.9656243615796287,669817955,9.29681311555428,1.9525800890655947
0.1,1.0,Complete,10.0,2.0,500.0,10000.0,0.5,-1.0,10.0,10.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.303568707563542,1.966656231804057,9.29339729243653,1.9558405136185413,-987417417,9.290310648108722,1.9645137033019904
0.1,1.0,Complete,10.0,2.0,500.0,10000.0,0.5,-1.0,10.0,10.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.290699334816006,1.9400906457144163,9.311950265183986,1.9543171804280668,-1386229472,9.33936824742915,1.8671829013552947
0.15000000000000002,1.0,Complete,10.0,2.0,500.0,10000.0,0.5,-1.0,10.0,10.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.061267777368021,1.911112795098991,9.060938222631906,1.8948276434611562,-1597008077,9.084919206106587,1.8493632246638407
