Epsilon,InitialSample,Network,NumberOfAgents,NumberOfBandits,NumberOfPulls,NumberOfTrials,PreferenceBias,ResultCorrelation,b1Mean1,b1Mean2,b1Variance,b2Mean1,b2Mean2,b2Variance,b3Mean1,b3Mean2,b3Variance,b4Mean1,b4Mean2,b4Variance,objPerformance1,objPerformance1Var,objPerformance2,objPerformance2Var,seed,subPerformance,subPerformanceVar
0.0,1.0,Complete,10.0,2.0,500.0,10000.0,0.1,1.0,10.0,-10.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3927191783500351,0.8500168451681176,-0.3864444216499641,0.5546520632130952,-443044260,0.25111397835003707,0.6077771903082604
0.0,1.0,Complete,10.0,2.0,500.0,10000.0,0.1,1.0,10.0,-10.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3790017544934548,0.799948373366215,-0.38323544550654615,0.5280642965904976,1123726117,0.24650375449345552,0.5943588034719473
0.0,1.0,Complete,10.0,2.0,500.0,10000.0,0.1,1.0,10.0,-10.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3845290893692236,0.8075912975467405,-0.39239051063077496,0.56398407851893,618728844,0.25017148936922456,0.5941188523810849
0.0,1.0,Complete,10.0,2.0,500.0,10000.0,0.2,1.0,10.0,-10.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.744608524081759,1.9624000980522227,-0.7477618759182385,1.4889582729185464,-744166101,0.6062729240817615,1.627479034341775
0.0,1.0,Complete,10.0,2.0,500.0,10000.0,0.2,1.0,10.0,-10.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.736460024597074,1.9678875481364502,-0.7389311754029252,1.4633338716684825,652402965,0.6012180245970743,1.6419006855121812
0.0,1.0,Complete,10.0,2.0,500.0,10000.0,0.2,1.0,10.0,-10.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76798671307183,2.052082544705798,-0.7652096869281684,1.5462494772238946,-1792730099,0.6318115130718306,1.7173321685629133
0.0,1.0,Complete,10.0,2.0,500.0,10000.0,0.30000000000000004,1.0,10.0,-10.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1244093928110668,3.5627493593959083,-1.1396690071889304,2.90070409975932,-1943830231,0.9989437928110699,3.181127096719885
0.0,1.0,Complete,10.0,2.0,500.0,10000.0,0.30000000000000004,1.0,10.0,-10.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1445668990994546,3.6266958562798357,-1.158128300900538,2.9281409291253224,-1639527450,1.0155656990994595,3.22454049972613
0.0,1.0,Complete,10.0,2.0,500.0,10000.0,0.30000000000000004,1.0,10.0,-10.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1348947874852635,3.642493424432816,-1.1461676125147366,2.9241788097518397,-2052908851,1.0068871874852652,3.2423885728271227
0.0,1.0,Complete,10.0,2.0,500.0,10000.0,0.4,1.0,10.0,-10.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5356897265050966,5.603252787165601,-1.5399582734949109,4.586332638918094,-13332752,1.426783726505093,5.1820283362935395
0.0,1.0,Complete,10.0,2.0,500.0,10000.0,0.4,1.0,10.0,-10.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5557013609723187,5.7157583304427195,-1.5564682390276898,4.733472754136672,1867576857,1.4447925609723118,5.294304792443849
0.0,1.0,Complete,10.0,2.0,500.0,10000.0,0.4,1.0,10.0,-10.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5399062682255351,5.6420767631287925,-1.5469917317744701,4.704254639964843,1559075886,1.429054668225529,5.21667780457635
0.0,1.0,Complete,10.0,2.0,500.0,10000.0,0.5,1.0,10.0,-10.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.990279134278894,8.03365169071173,-2.0047428657211044,6.932482547220984,-322653546,1.8970011342789,7.61428773756893
0.0,1.0,Complete,10.0,2.0,500.0,10000.0,0.5,1.0,10.0,-10.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.034168198298134,8.133550293608504,-2.0428558017018745,6.9567049726073025,253662366,1.939913398298117,7.717038004582774
0.0,1.0,Complete,10.0,2.0,500.0,10000.0,0.5,1.0,10.0,-10.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.009187498970888,8.122014957216448,-2.0107129010291196,6.929380393789111,2138644696,1.9157578989708899,7.7128823146563645
0.0,1.0,Complete,10.0,2.0,500.0,10000.0,0.6000000000000001,1.0,10.0,-10.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4473289854771254,10.972424833135062,-2.446691014522905,9.489842324628887,-1445785933,2.374851385477113,10.601783060849542
0.0,1.0,Complete,10.0,2.0,500.0,10000.0,0.6000000000000001,1.0,10.0,-10.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4098919025239818,10.871500623950672,-2.412507297476027,9.383773687389052,220622496,2.3355511025239717,10.481576356057763
0.0,1.0,Complete,10.0,2.0,500.0,10000.0,0.6000000000000001,1.0,10.0,-10.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.507594272095899,11.251532910315438,-2.4975813279041112,9.692943767461484,1500895639,2.4346486720958804,10.879913644640926
0.0,1.0,Complete,10.0,2.0,500.0,10000.0,0.7000000000000001,1.0,10.0,-10.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8890808092457054,14.033743322428055,-2.8991887907543084,12.312008374015504,1086912513,2.8323160092456905,13.7047721771041
0.0,1.0,Complete,10.0,2.0,500.0,10000.0,0.7000000000000001,1.0,10.0,-10.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.870604038675897,14.089914026002202,-2.877052361324097,12.49229761986344,409425043,2.8171476386758756,13.775463632751336
0.0,1.0,Complete,10.0,2.0,500.0,10000.0,0.7000000000000001,1.0,10.0,-10.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.883327806329938,14.080865593576947,-2.904599393670056,12.497038205325268,1245598087,2.827993406329953,13.763201444398543
0.0,1.0,Complete,10.0,2.0,500.0,10000.0,0.8,1.0,10.0,-10.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4540220314149965,17.984354148355948,-3.419589168585018,15.77941207145576,348456377,3.4169304314149778,17.74364610855732
0.0,1.0,Complete,10.0,2.0,500.0,10000.0,0.8,1.0,10.0,-10.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.479605540121667,17.993710196211122,-3.480159659878332,15.973065910551808,456198224,3.442751940121671,17.762152170547076
0.0,1.0,Complete,10.0,2.0,500.0,10000.0,0.8,1.0,10.0,-10.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3957085114688685,17.974986723737178,-3.368344288531161,15.723212235876138,2078817905,3.3595041114688624,17.743681104658705
0.0,1.0,Complete,10.0,2.0,500.0,10000.0,0.9,1.0,10.0,-10.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9614477957406766,22.153074149667788,-3.92876980425931,19.544600671584963,-1471931424,3.9429857957406753,22.023430795442223
0.0,1.0,Complete,10.0,2.0,500.0,10000.0,0.9,1.0,10.0,-10.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.844792674296507,21.77991865138618,-3.87002092570351,19.74460874110667,-506772615,3.8278186742965015,21.662973690981843
0.0,1.0,Complete,10.0,2.0,500.0,10000.0,0.9,1.0,10.0,-10.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8899226463061605,21.994114216687706,-3.863674153693846,19.432238605018,-1428441340,3.8712478463061575,21.862030514333398
0.0,1.0,Complete,10.0,2.0,500.0,10000.0,1.0,1.0,10.0,-10.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.310996768264821,26.195009858288337,-4.324836831735162,23.75128423900259,-1532884371,4.310996768264821,26.195009858288334
0.0,1.0,Complete,10.0,2.0,500.0,10000.0,1.0,1.0,10.0,-10.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.512176094611302,26.495932936628,-4.505903105388663,23.96700068766782,1542855773,4.512176094611302,26.495932936628
0.0,1.0,Complete,10.0,2.0,500.0,10000.0,1.0,1.0,10.0,-10.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.387177089551423,26.33136378242203,-4.390502510448574,23.77820649947278,-1896773827,4.387177089551423,26.33136378242203
0.0,1.0,Complete,10.0,2.0,500.0,10000.0,0.5,0.0,10.0,-10.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4763226333847213,8.6544143451439,-2.474725682705921,7.824271065637537,2089000794,2.37759215161288,8.363467836504157
0.0,1.0,Complete,10.0,2.0,500.0,10000.0,0.5,0.0,10.0,-10.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.470112577608166,8.665562318357873,-2.4728030272658628,7.860894551034702,324830122,2.3709416559277514,8.380125238226391
0.0,1.0,Complete,10.0,2.0,500.0,10000.0,0.5,0.0,10.0,-10.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.444658772358842,8.500436319048488,-2.445298838798325,7.681819876856431,251850510,2.347260656143075,8.228612578018637
0.0,1.0,Complete,10.0,2.0,500.0,10000.0,0.6000000000000001,0.0,10.0,-10.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9679662291124305,11.482406772417015,-2.959112737862691,10.475323081999491,208901428,2.8882039693767956,11.220302527920275
0.0,1.0,Complete,10.0,2.0,500.0,10000.0,0.6000000000000001,0.0,10.0,-10.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9877912136897127,11.439667462536647,-2.995162209722295,10.488861037579408,1691412421,2.905407951694999,11.182059315131765
0.0,1.0,Complete,10.0,2.0,500.0,10000.0,0.6000000000000001,0.0,10.0,-10.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9947159670781422,11.514482250824734,-2.9960942014384795,10.61094586005373,-1631698991,2.9149083244598337,11.258682639802275
0.0,1.0,Complete,10.0,2.0,500.0,10000.0,0.7000000000000001,0.0,10.0,-10.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4104934031560488,14.58555556944754,-3.4239011573896247,13.547523078212619,-280786289,3.348005477325427,14.369576294963528
0.0,1.0,Complete,10.0,2.0,500.0,10000.0,0.7000000000000001,0.0,10.0,-10.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.504096586823702,14.644200240451122,-3.499313603417582,13.5007069691796,228011954,3.441100416079328,14.424014779378464
0.0,1.0,Complete,10.0,2.0,500.0,10000.0,0.7000000000000001,0.0,10.0,-10.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.46819715935282,14.71186535903353,-3.4526040698281357,13.518938324383692,-19835686,3.4065231452176077,14.485355937591361
0.0,1.0,Complete,10.0,2.0,500.0,10000.0,0.8,0.0,10.0,-10.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.83326118981618,18.287910051527614,-3.8286965497777397,16.94191977207462,-1410630047,3.7904862726740687,18.117504502808078
0.0,1.0,Complete,10.0,2.0,500.0,10000.0,0.8,0.0,10.0,-10.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.055352376531125,18.25492401604229,-4.05096338562678,17.022421453772004,-1624747087,4.01187525879963,18.102391602457384
0.0,1.0,Complete,10.0,2.0,500.0,10000.0,0.8,0.0,10.0,-10.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9899749489871756,18.33499469622275,-3.9644632115545244,16.925923300648773,1160200018,3.946134529602789,18.171012848275698
