Epsilon,InitialSample,Network,NumberOfAgents,NumberOfBandits,NumberOfPulls,NumberOfTrials,ReevalFrequency,b1Mean,b1Variance,b2Mean,b2Variance,finalPerfVar,finalPerformance,seed
0.0,1.0,Complete,1.0,2.0,500.0,10000.0,1.0,10.0,10.0,0.0,0.0,16.727779168712438,7.9138243950725355,824939814
0.0,1.0,Complete,1.0,2.0,500.0,10000.0,1.0,10.0,10.0,0.0,0.0,16.541048364214987,7.936906606006954,-2067921181
0.0,1.0,Complete,1.0,2.0,500.0,10000.0,1.0,10.0,10.0,0.0,0.0,15.93413479502851,8.04898065668881,-691094686
0.0,1.0,Complete,1.0,2.0,500.0,10000.0,1.0,10.0,25.0,0.0,0.0,25.790640872978457,4.489310597753527,-113796644
0.0,1.0,Complete,1.0,2.0,500.0,10000.0,1.0,10.0,25.0,0.0,0.0,25.736740486231877,4.520677580567949,1790453589
0.0,1.0,Complete,1.0,2.0,500.0,10000.0,1.0,10.0,25.0,0.0,0.0,25.628961360924052,4.414858255488934,1352358548
0.0,1.0,Complete,1.0,2.0,500.0,10000.0,1.0,10.0,50.0,0.0,0.0,21.66245708449233,2.535832599292332,77044621
0.0,1.0,Complete,1.0,2.0,500.0,10000.0,1.0,10.0,50.0,0.0,0.0,20.94443242198548,2.475036755129276,515150301
0.0,1.0,Complete,1.0,2.0,500.0,10000.0,1.0,10.0,50.0,0.0,0.0,21.28938110848868,2.5324960427090697,-765422162
0.0,1.0,Complete,1.0,2.0,500.0,10000.0,1.0,10.0,100.0,0.0,0.0,19.205762420212086,1.4943782604032745,1862680279
0.0,1.0,Complete,1.0,2.0,500.0,10000.0,1.0,10.0,100.0,0.0,0.0,18.79688918460865,1.4856167958017301,1188820654
0.0,1.0,Complete,1.0,2.0,500.0,10000.0,1.0,10.0,100.0,0.0,0.0,18.140769019303026,1.4203549498911043,-1564703713
0.1,1.0,Complete,1.0,2.0,500.0,10000.0,1.0,10.0,10.0,0.0,0.0,12.532416743044307,7.820485275313884,-1665960834
0.1,1.0,Complete,1.0,2.0,500.0,10000.0,1.0,10.0,10.0,0.0,0.0,12.68840212873604,7.781321753409947,-1875506259
0.1,1.0,Complete,1.0,2.0,500.0,10000.0,1.0,10.0,10.0,0.0,0.0,12.592906010258389,7.799131631718599,-1896347587
0.1,1.0,Complete,1.0,2.0,500.0,10000.0,1.0,10.0,25.0,0.0,0.0,21.064995052269534,5.233241925561225,125272705
0.1,1.0,Complete,1.0,2.0,500.0,10000.0,1.0,10.0,25.0,0.0,0.0,21.087891273747967,5.120020558751597,-1669068106
0.1,1.0,Complete,1.0,2.0,500.0,10000.0,1.0,10.0,25.0,0.0,0.0,21.059841564383795,5.300503100072798,-1026703389
0.1,1.0,Complete,1.0,2.0,500.0,10000.0,1.0,10.0,50.0,0.0,0.0,21.768717321395794,4.091591953012188,103688403
0.1,1.0,Complete,1.0,2.0,500.0,10000.0,1.0,10.0,50.0,0.0,0.0,21.872254241234955,4.0453775153715785,-1757657939
0.30000000000000004,1.0,Complete,1.0,2.0,500.0,10000.0,1.0,10.0,25.0,0.0,0.0,12.528246809978768,5.674296360006279,-268873
