Epsilon,InitialSample,Network,NumberOfAgents,NumberOfBandits,NumberOfPulls,NumberOfTrials,ReevalFrequency,b1Mean,b1Variance,b2Mean,b2Variance,finalPerfVar,finalPerformance,seed
0.0,1.0,Complete,1.0,2.0,500.0,30000.0,1.0,10.0,100.0,0.0,0.0,18.49756505472576,1.4314588308286567,0
0.0,5.0,Complete,1.0,2.0,500.0,30000.0,1.0,10.0,100.0,0.0,0.0,28.478757626803436,2.4756347569664876,0
0.0,10.0,Complete,1.0,2.0,500.0,30000.0,1.0,10.0,100.0,0.0,0.0,33.13451980118804,3.152296747470253,0
0.0,25.0,Complete,1.0,2.0,500.0,30000.0,1.0,10.0,100.0,0.0,0.0,37.84086418462108,4.426730743218156,0
0.0,50.0,Complete,1.0,2.0,500.0,30000.0,1.0,10.0,100.0,0.0,0.0,36.20538736670881,5.5373719320194,0
0.0,75.0,Complete,1.0,2.0,500.0,30000.0,1.0,10.0,100.0,0.0,0.0,31.970060018078723,6.174302252032067,0
0.0,100.0,Complete,1.0,2.0,500.0,30000.0,1.0,10.0,100.0,0.0,0.0,27.97779564343257,6.5094957405458,0
0.0,250.0,Complete,1.0,2.0,500.0,30000.0,1.0,10.0,100.0,0.0,0.0,12.469604504636976,6.983746863812099,0
0.0,500.0,Complete,1.0,2.0,500.0,30000.0,1.0,10.0,100.0,0.0,0.0,5.165400271832722,6.578278994761319,0
0.0,750.0,Complete,1.0,2.0,500.0,30000.0,1.0,10.0,100.0,0.0,0.0,3.234555795704475,6.229414599190178,0
0.1,750.0,Complete,1.0,2.0,500.0,30000.0,1.0,10.0,100.0,0.0,0.0,3.0934865957501354,6.123506192671239,0
0.1,1000.0,Complete,1.0,2.0,500.0,30000.0,1.0,10.0,100.0,0.0,0.0,2.3867753988699674,5.894828879967269,0
0.2,1.0,Complete,1.0,2.0,500.0,30000.0,1.0,10.0,100.0,0.0,0.0,25.059895157874912,4.169957829176297,0
0.2,5.0,Complete,1.0,2.0,500.0,30000.0,1.0,10.0,100.0,0.0,0.0,28.026750447194456,4.984875965649907,0
0.2,10.0,Complete,1.0,2.0,500.0,30000.0,1.0,10.0,100.0,0.0,0.0,28.768192037613517,5.45915910910208,0
0.2,25.0,Complete,1.0,2.0,500.0,30000.0,1.0,10.0,100.0,0.0,0.0,27.905823486257894,6.052729507294887,0
0.2,50.0,Complete,1.0,2.0,500.0,30000.0,1.0,10.0,100.0,0.0,0.0,24.667755791290624,6.521609991664559,0
0.2,75.0,Complete,1.0,2.0,500.0,30000.0,1.0,10.0,100.0,0.0,0.0,21.382283104261692,6.757508559276841,0
0.2,100.0,Complete,1.0,2.0,500.0,30000.0,1.0,10.0,100.0,0.0,0.0,18.523436903675854,6.852734591467585,0
0.2,250.0,Complete,1.0,2.0,500.0,30000.0,1.0,10.0,100.0,0.0,0.0,9.166588757311095,6.741509754786726,0
0.2,500.0,Complete,1.0,2.0,500.0,30000.0,1.0,10.0,100.0,0.0,0.0,4.562213351553472,6.2907130185783675,0
0.2,750.0,Complete,1.0,2.0,500.0,30000.0,1.0,10.0,100.0,0.0,0.0,3.0394330098641325,5.998578205922523,0
0.2,1000.0,Complete,1.0,2.0,500.0,30000.0,1.0,10.0,100.0,0.0,0.0,2.335253528955667,5.793480443261949,0
0.3,1.0,Complete,1.0,2.0,500.0,30000.0,1.0,10.0,100.0,0.0,0.0,22.833264200611705,4.648510729399711,0
0.3,5.0,Complete,1.0,2.0,500.0,30000.0,1.0,10.0,100.0,0.0,0.0,24.347855104006506,5.2098346736831465,0
0.3,10.0,Complete,1.0,2.0,500.0,30000.0,1.0,10.0,100.0,0.0,0.0,24.94655035116147,5.550790216412651,0
0.3,25.0,Complete,1.0,2.0,500.0,30000.0,1.0,10.0,100.0,0.0,0.0,24.138848528036743,6.065886344736746,0
0.3,50.0,Complete,1.0,2.0,500.0,30000.0,1.0,10.0,100.0,0.0,0.0,21.64274258382442,6.395637360678121,0
