Epsilon,InitialSample,Network,NumberOfAgents,NumberOfBandits,NumberOfPulls,NumberOfTrials,ReevalFrequency,b1Mean,b1Variance,b2Mean,b2Variance,finalPerfVar,finalPerformance,seed
0.2,1.0,Complete,1.0,2.0,500.0,30000.0,1.0,10.0,1.0,0.0,0.0,0.019595470916809243,8.98367813488232,0
0.2,1.0,Complete,1.0,2.0,500.0,30000.0,1.0,10.0,10.0,0.0,0.0,9.734113571755058,7.5276049779375995,0
0.2,1.0,Complete,1.0,2.0,500.0,30000.0,1.0,10.0,100.0,0.0,0.0,25.059895157874912,4.169957829176297,0
0.2,1.0,Complete,1.0,2.0,500.0,30000.0,1.0,10.0,1000.0,0.0,0.0,780.1259619853366,3.779735453240844,0
0.2,1.0,Complete,1.0,2.0,500.0,30000.0,1.0,10.0,10000.0,0.0,0.0,74471.93571836414,3.4743636587972757,0
0.3,1.0,Complete,1.0,2.0,500.0,30000.0,1.0,10.0,1.0,0.0,0.0,0.0270197685237866,8.484982860034537,0
0.3,1.0,Complete,1.0,2.0,500.0,30000.0,1.0,10.0,10.0,0.0,0.0,7.2791866824966,7.265907055826298,0
0.3,1.0,Complete,1.0,2.0,500.0,30000.0,1.0,10.0,100.0,0.0,0.0,22.833264200611705,4.648510729399711,0
0.3,1.0,Complete,1.0,2.0,500.0,30000.0,1.0,10.0,1000.0,0.0,0.0,887.7898559924696,4.556785340537619,0
0.3,1.0,Complete,1.0,2.0,500.0,30000.0,1.0,10.0,10000.0,0.0,0.0,85642.70163044117,6.36880729866306,0
0.0,1.0,Complete,1.0,2.0,500.0,30000.0,1.0,10.0,1.0,0.0,0.0,0.0019685561799731984,9.980191223316435,0
0.0,1.0,Complete,1.0,2.0,500.0,30000.0,1.0,10.0,10.0,0.0,0.0,16.280674917402767,7.970181911608054,0
0.0,1.0,Complete,1.0,2.0,500.0,30000.0,1.0,10.0,100.0,0.0,0.0,18.49756505472576,1.4314588308286567,0
0.0,1.0,Complete,1.0,2.0,500.0,30000.0,1.0,10.0,1000.0,0.0,0.0,148.31311406826973,0.5395874197332762,0
0.0,1.0,Complete,1.0,2.0,500.0,30000.0,1.0,10.0,10000.0,0.0,0.0,10158.905024339974,-0.10708177683994367,0
0.1,1.0,Complete,1.0,2.0,500.0,30000.0,1.0,10.0,1.0,0.0,0.0,0.011323171580201338,9.48237670045025,0
0.1,1.0,Complete,1.0,2.0,500.0,30000.0,1.0,10.0,10.0,0.0,0.0,12.561087881344896,7.792840191778019,0
0.1,1.0,Complete,1.0,2.0,500.0,30000.0,1.0,10.0,100.0,0.0,0.0,26.260803093006352,3.4211933422320158,0
0.1,1.0,Complete,1.0,2.0,500.0,30000.0,1.0,10.0,1000.0,0.0,0.0,626.6678549634945,2.800305580156239,0
0.1,1.0,Complete,1.0,2.0,500.0,30000.0,1.0,10.0,10000.0,0.0,0.0,58447.03007648177,1.7371873599848264,0
