Epsilon,InitialSample,Network,NumberOfAgents,NumberOfBandits,NumberOfPulls,NumberOfTrials,ReevalFrequency,b1Mean,b1Variance,b2Mean,b2Variance,finalPerfVar,finalPerformance,seed
0.1,750.0,Complete,1.0,2.0,500.0,10000.0,1.0,10.0,50.0,0.0,0.0,4.588326699390485,9.442681762493123,-1355961713
0.1,750.0,Complete,1.0,2.0,500.0,10000.0,1.0,10.0,50.0,0.0,0.0,4.742992171784162,9.533273161129058,-1404678249
0.1,750.0,Complete,1.0,2.0,500.0,10000.0,1.0,10.0,50.0,0.0,0.0,4.805936432572564,9.520492754451155,970198702
0.1,1000.0,Complete,1.0,2.0,500.0,10000.0,1.0,10.0,50.0,0.0,0.0,4.88440162044529,9.491635391747293,906041430
0.1,1000.0,Complete,1.0,2.0,500.0,10000.0,1.0,10.0,50.0,0.0,0.0,4.790645548937893,9.470315363101896,-245298211
0.1,1000.0,Complete,1.0,2.0,500.0,10000.0,1.0,10.0,50.0,0.0,0.0,4.753888363909732,9.44708221663573,1029708484
0.2,1.0,Complete,1.0,2.0,500.0,10000.0,1.0,10.0,50.0,0.0,0.0,18.7664514852319,4.6144452303923895,-539783571
0.2,1.0,Complete,1.0,2.0,500.0,10000.0,1.0,10.0,50.0,0.0,0.0,18.40663981940309,4.587536253027156,1062148944
0.2,1.0,Complete,1.0,2.0,500.0,10000.0,1.0,10.0,50.0,0.0,0.0,18.315549690523866,4.612890004712722,-761575992
0.2,5.0,Complete,1.0,2.0,500.0,10000.0,1.0,10.0,50.0,0.0,0.0,18.527407115440223,5.77533131752756,-1855018835
0.0,1.0,Complete,1.0,2.0,500.0,10000.0,1.0,10.0,50.0,0.0,0.0,21.863094208839538,2.6071355565266154,550210238
0.0,1.0,Complete,1.0,2.0,500.0,10000.0,1.0,10.0,50.0,0.0,0.0,21.751210240312414,2.6143402070814874,-1425668107
0.0,1.0,Complete,1.0,2.0,500.0,10000.0,1.0,10.0,50.0,0.0,0.0,21.83980052858818,2.6012692429903486,-134391366
0.0,5.0,Complete,1.0,2.0,500.0,10000.0,1.0,10.0,50.0,0.0,0.0,28.26447986659925,4.333858743818501,1303550042
0.0,5.0,Complete,1.0,2.0,500.0,10000.0,1.0,10.0,50.0,0.0,0.0,28.2036904976975,4.2464426644729345,188266023
0.0,5.0,Complete,1.0,2.0,500.0,10000.0,1.0,10.0,50.0,0.0,0.0,27.943593915123937,4.21361198496124,1787219745
0.0,10.0,Complete,1.0,2.0,500.0,10000.0,1.0,10.0,50.0,0.0,0.0,29.13609352570344,5.307741492110226,1730070189
0.0,10.0,Complete,1.0,2.0,500.0,10000.0,1.0,10.0,50.0,0.0,0.0,29.00279022500954,5.3882444050315375,382830444
0.0,10.0,Complete,1.0,2.0,500.0,10000.0,1.0,10.0,50.0,0.0,0.0,29.066222598852608,5.398801567500697,885381774
0.0,25.0,Complete,1.0,2.0,500.0,10000.0,1.0,10.0,50.0,0.0,0.0,24.818546318653876,7.251080997216468,1332821404
0.0,100.0,Complete,1.0,2.0,500.0,10000.0,1.0,10.0,50.0,0.0,0.0,8.92782389914007,9.6148820581078,-1430623124
0.0,250.0,Complete,1.0,2.0,500.0,10000.0,1.0,10.0,50.0,0.0,0.0,5.0824072297167024,9.99931718634167,1203968047
0.0,250.0,Complete,1.0,2.0,500.0,10000.0,1.0,10.0,50.0,0.0,0.0,5.122766605823599,10.01357041937928,-1370113811
0.0,250.0,Complete,1.0,2.0,500.0,10000.0,1.0,10.0,50.0,0.0,0.0,5.219049913362323,10.014584258066085,1356745134
0.0,500.0,Complete,1.0,2.0,500.0,10000.0,1.0,10.0,50.0,0.0,0.0,4.947649023768977,9.996899324101241,1519728526
0.0,500.0,Complete,1.0,2.0,500.0,10000.0,1.0,10.0,50.0,0.0,0.0,5.168252749552809,9.97891886201585,1504051396
0.0,500.0,Complete,1.0,2.0,500.0,10000.0,1.0,10.0,50.0,0.0,0.0,4.951988578652233,9.9841349436192,168405879
0.0,750.0,Complete,1.0,2.0,500.0,10000.0,1.0,10.0,50.0,0.0,0.0,5.106878299534708,10.009270306087986,1448019175
0.0,750.0,Complete,1.0,2.0,500.0,10000.0,1.0,10.0,50.0,0.0,0.0,4.946342467275615,10.008489345104623,436679229
0.0,750.0,Complete,1.0,2.0,500.0,10000.0,1.0,10.0,50.0,0.0,0.0,4.993877753054003,10.01089785790865,1265529814
